"Campaign_ID","Target_Audience","Age_Group","Customer_Type","Campaign_Goal","Duration","Channel_Used","Conversion_Rate","Spend","ROI","Location","Language","Clicks","Impressions","Customer_Segment","Date","Company","FullState"
958249,"Men","25-34","Men 25-34","Market Expansion",45,"Twitter",0.14,7761.72,1.39,"Las Vegas","English",20267,61551,"Fashion",2022-11-28,"Attire Artistry","Nevada"
290410,"Men","25-34","Men 25-34","Product Launch",45,"Facebook",0.04,9436.75,7.58,"New York","Spanish",24804,74991,"Fashion",2022-06-22,"Chic Couture","New York"
931854,"Women","35-44","Women 35-44","Product Launch",60,"Facebook",0.07,11477.05,4.87,"Austin","Spanish",30379,91504,"Food",2022-03-14,"Savor Street","Texas"
717257,"Men","25-34","Men 25-34","Product Launch",15,"Instagram",0.02,1570.11,7,"Austin","French",3954,13233,"Fashion",2022-07-25,"Mode Maven","Texas"
463721,"Women","35-44","Women 35-44","Product Launch",45,"Facebook",0.02,10044.96,1.16,"New York","English",26471,79929,"Fashion",2022-01-21,"Attire Artistry","New York"
670303,"Men","18-24","Men 18-24","Increase Sales",15,"Twitter",0.03,1607.53,0.36,"Las Vegas","English",4026,13446,"Fashion",2022-02-11,"Vogue Visions","Nevada"
887040,"Men","25-34","Men 25-34","Product Launch",45,"Pinterest",0.11,8306.18,0.479042667,"New York","French",12778,42590,"Food",2022-05-07,"Dine Divine","New York"
144146,"Women","25-34","Women 25-34","Product Launch",30,"Pinterest",0.08,7447.99,0.318170129,"Las Vegas","Spanish",11391,38075,"Food",2022-11-04,"Feast Flavors","Nevada"
221356,"Men","25-34","Men 25-34","Product Launch",45,"Facebook",0.13,10880.57,3.55,"Los Angeles","English",28750,86679,"Fashion",2022-03-20,"Glam Garments","California"
134792,"Women","35-44","Women 35-44","Product Launch",45,"Twitter",0.12,9942.22,1.21,"Miami","English",26190,79095,"Food",2022-06-05,"Gourmet Grove","Florida"
960615,"Men","35-44","Men 35-44","Increase Sales",60,"Instagram",0.06,12446.3,2.38,"Austin","French",32949,99115,"Fashion",2022-10-21,"Glam Garments","Texas"
658669,"Men","25-34","Men 25-34","Product Launch",15,"Instagram",0.05,2359.64,7.75,"Miami","French",5768,18606,"Fashion",2022-03-30,"Vogue Visions","Florida"
314769,"Women","25-34","Women 25-34","Product Launch",45,"Facebook",0.1,8984.45,0.85,"Las Vegas","English",23584,71377,"Food",2022-04-22,"Culinary Quest","Nevada"
695244,"Men","35-44","Men 35-44","Increase Sales",60,"Twitter",0.14,14327.24,5.73,"New York","English",37321,112065,"Food",2022-04-21,"Dine Divine","New York"
715189,"Men","35-44","Men 35-44","Market Expansion",15,"Instagram",0.06,1619.22,5.88,"Los Angeles","French",4050,13515,"Fashion",2022-06-18,"Glam Garments","California"
500604,"Men","18-24","Men 18-24","Brand Awareness",30,"Facebook",0.12,4867.59,1.83,"New York","French",12412,38285,"Fashion",2022-10-06,"Runway Rebels","New York"
120844,"Women","25-34","Women 25-34","Product Launch",45,"Facebook",0.1,9514.42,7.6,"Las Vegas","French",25019,75628,"Fashion",2022-08-15,"Mode Maven","Nevada"
835575,"Men","35-44","Men 35-44","Product Launch",45,"Twitter",0.09,8422.38,4.88,"Las Vegas","Spanish",22075,66906,"Fashion",2022-07-26,"Silk & Style","Nevada"
230250,"Women","18-24","Women 18-24","Market Expansion",15,"Facebook",0.09,2794.2,1.28,"Austin","French",6840,21781,"Food",2022-12-25,"Gastronomy Guild","Texas"
501799,"Men","25-34","Men 25-34","Increase Sales",30,"Pinterest",0.12,6834.08,0.479042667,"Austin","French",10422,34917,"Fashion",2022-07-09,"Mode Maven","Texas"
523122,"Women","35-44","Women 35-44","Increase Sales",60,"Facebook",0.13,13220.63,2.07,"Las Vegas","French",34922,104961,"Fashion",2022-07-19,"Trend Tailors","Nevada"
232379,"Men","18-24","Men 18-24","Brand Awareness",60,"Twitter",0.1,11864.47,0.63,"Las Vegas","English",31409,94554,"Fashion",2022-07-23,"Glam Garments","Nevada"
590283,"Men","18-24","Men 18-24","Market Expansion",60,"Pinterest",0.08,13202.31,0.166234955,"Los Angeles","French",20484,67682,"Food",2022-04-29,"Gastronomy Guild","California"
187160,"Women","25-34","Women 25-34","Brand Awareness",45,"Pinterest",0.12,10106.18,1.238718537,"Las Vegas","Spanish",15647,51931,"Food",2022-07-10,"Gastronomy Guild","Nevada"
871197,"Men","35-44","Men 35-44","Market Expansion",45,"Pinterest",0.01,8513.72,0.366431891,"Los Angeles","Spanish",13112,43678,"Food",2022-09-16,"Gourmet Grove","California"
621060,"Women","25-34","Women 25-34","Increase Sales",15,"Twitter",0.09,3386.02,7.5,"Las Vegas","French",8388,26365,"Food",2022-05-15,"Dine Divine","Nevada"
621373,"Women","35-44","Women 35-44","Brand Awareness",60,"Pinterest",0.03,12939.37,0.761463343,"Miami","Spanish",20101,66435,"Fashion",2022-04-09,"Trend Tailors","Florida"
389992,"Men","35-44","Men 35-44","Increase Sales",60,"Twitter",0.07,13505.12,7.07,"Miami","Spanish",35589,106934,"Fashion",2022-03-15,"Silk & Style","Florida"
528932,"Men","35-44","Men 35-44","Product Launch",15,"Pinterest",0.1,3914.77,0.287783095,"Miami","English",5759,19736,"Food",2022-06-13,"Savor Street","Florida"
136388,"Men","25-34","Men 25-34","Brand Awareness",45,"Facebook",0.04,10102.86,7.97,"Las Vegas","Spanish",26633,80406,"Fashion",2022-06-07,"Runway Rebels","Nevada"
249203,"Women","35-44","Women 35-44","Market Expansion",30,"Instagram",0.11,5549.52,4.12,"New York","French",14266,43778,"Fashion",2022-01-31,"Chic Couture","New York"
267410,"Men","35-44","Men 35-44","Market Expansion",30,"Pinterest",0.02,7679.5,1.397803602,"New York","English",11764,39289,"Fashion",2022-07-28,"Glam Garments","New York"
850378,"Women","18-24","Women 18-24","Brand Awareness",60,"Instagram",0.14,12930.72,3.3,"Miami","French",34202,102826,"Food",2022-02-01,"Bistro Bliss","Florida"
146335,"Men","35-44","Men 35-44","Market Expansion",45,"Pinterest",0.1,9710.37,0.091161104,"Las Vegas","Spanish",15015,49874,"Fashion",2022-04-27,"Mode Maven","Nevada"
472784,"Men","18-24","Men 18-24","Product Launch",45,"Facebook",0.05,9080.11,3.38,"Los Angeles","English",23836,72124,"Food",2022-01-11,"Culinary Quest","California"
197796,"Men","25-34","Men 25-34","Brand Awareness",15,"Pinterest",0.09,2464.11,0.207346826,"Miami","French",3536,12497,"Food",2022-10-30,"Culinary Quest","Florida"
786399,"Women","18-24","Women 18-24","Product Launch",60,"Instagram",0.09,13985.72,3.37,"Los Angeles","Spanish",36637,110040,"Fashion",2022-03-03,"Chic Couture","California"
331541,"Women","18-24","Women 18-24","Increase Sales",15,"Facebook",0.08,570.95,1.07,"Austin","Spanish",2185,7993,"Fashion",2022-03-24,"Glam Garments","Texas"
492608,"Women","18-24","Women 18-24","Product Launch",45,"Pinterest",0.11,9664.87,0.044686816,"New York","English",14941,49632,"Fashion",2022-08-30,"Mode Maven","New York"
399378,"Women","25-34","Women 25-34","Increase Sales",30,"Instagram",0.03,4161.52,6.3,"Los Angeles","English",10487,32582,"Food",2022-10-27,"Dine Divine","California"
869890,"Men","25-34","Men 25-34","Brand Awareness",60,"Facebook",0.06,15000,5.92,"Austin","Spanish",38579,115793,"Fashion",2022-05-12,"Vogue Visions","Texas"
269686,"Men","18-24","Men 18-24","Brand Awareness",15,"Twitter",0.09,2270.73,4.1,"Las Vegas","French",5556,17976,"Food",2022-07-20,"Bistro Bliss","Nevada"
204315,"Men","18-24","Men 18-24","Product Launch",45,"Instagram",0.13,10762.06,6.57,"New York","Spanish",28428,85723,"Fashion",2022-07-22,"Attire Artistry","New York"
336633,"Men","18-24","Men 18-24","Product Launch",30,"Twitter",0.06,5501.85,4.11,"Austin","French",14136,43392,"Fashion",2022-06-16,"Chic Couture","Texas"
885591,"Men","25-34","Men 25-34","Product Launch",15,"Twitter",0.1,4057.51,4.96,"Las Vegas","French",10196,31720,"Fashion",2022-07-28,"Style Sphere","Nevada"
540004,"Women","35-44","Women 35-44","Market Expansion",45,"Pinterest",0.08,10626.73,0.829387303,"Las Vegas","Spanish",16479,54641,"Food",2022-12-31,"Culinary Quest","Nevada"
182331,"Men","18-24","Men 18-24","Product Launch",60,"Instagram",0.06,11587.84,7.44,"Miami","French",30682,92401,"Fashion",2022-02-20,"Chic Couture","Florida"
322379,"Women","18-24","Women 18-24","Product Launch",45,"Facebook",0.11,10476.3,0.39,"Miami","French",27653,83428,"Food",2022-11-01,"Dine Divine","Florida"
171993,"Men","35-44","Men 35-44","Product Launch",15,"Instagram",0.09,500,3.25,"Las Vegas","English",933,4285,"Food",2022-08-30,"Feast Flavors","Nevada"
279477,"Men","25-34","Men 25-34","Increase Sales",45,"Facebook",0.06,8546.79,6.93,"New York","French",22416,67916,"Fashion",2022-04-23,"Vogue Visions","New York"
824091,"Men","18-24","Men 18-24","Brand Awareness",30,"Twitter",0.06,4392.16,0.98,"Los Angeles","English",11114,34440,"Food",2022-08-28,"Culinary Quest","California"
789994,"Men","18-24","Men 18-24","Market Expansion",15,"Twitter",0.04,500,5.49,"Austin","Spanish",783,3838,"Food",2022-11-11,"Culinary Quest","Texas"
501410,"Women","25-34","Women 25-34","Increase Sales",30,"Pinterest",0.04,4978.02,1.421040746,"Miami","English",7464,25286,"Fashion",2022-07-29,"Glam Garments","Florida"
313436,"Men","25-34","Men 25-34","Product Launch",45,"Twitter",0.11,9796.08,5.16,"Miami","English",25807,77960,"Fashion",2022-08-15,"Style Sphere","Florida"
422929,"Men","35-44","Men 35-44","Brand Awareness",45,"Facebook",0.07,11273.16,6.06,"Miami","Spanish",29824,89859,"Food",2022-04-07,"Nosh Nirvana","Florida"
658100,"Men","35-44","Men 35-44","Brand Awareness",45,"Pinterest",0.04,9886.08,1.36920404,"New York","French",15298,50794,"Fashion",2022-12-02,"Attire Artistry","New York"
270375,"Men","35-44","Men 35-44","Product Launch",30,"Twitter",0.09,6191.32,7.24,"Austin","Spanish",16012,48949,"Fashion",2022-07-11,"Chic Couture","Texas"
158532,"Men","25-34","Men 25-34","Increase Sales",45,"Twitter",0.04,8081.45,6.3,"Los Angeles","Spanish",21137,64129,"Food",2022-04-28,"Gourmet Grove","California"
988531,"Women","18-24","Women 18-24","Market Expansion",30,"Pinterest",0.07,7579.22,0.773975652,"Las Vegas","English",11606,38771,"Food",2022-07-25,"Feast Flavors","Nevada"
570690,"Men","35-44","Men 35-44","Product Launch",45,"Instagram",0.06,9136.39,5.39,"Las Vegas","French",23993,72589,"Fashion",2022-02-13,"Runway Rebels","Nevada"
557562,"Men","18-24","Men 18-24","Market Expansion",60,"Facebook",0.04,14320.4,5.33,"Las Vegas","English",37306,112022,"Fashion",2022-10-17,"Runway Rebels","Nevada"
345071,"Women","25-34","Women 25-34","Market Expansion",30,"Instagram",0.02,7547.98,0.92,"Austin","Spanish",19675,59797,"Food",2022-10-19,"Gastronomy Guild","Texas"
869176,"Men","25-34","Men 25-34","Market Expansion",30,"Twitter",0.08,7448.64,5.01,"New York","French",19399,58981,"Fashion",2022-12-23,"Glam Garments","New York"
927549,"Women","18-24","Women 18-24","Increase Sales",60,"Instagram",0.1,12676.37,0.67,"Las Vegas","Spanish",33547,100887,"Food",2022-08-05,"Feast Flavors","Nevada"
498944,"Women","18-24","Women 18-24","Product Launch",45,"Facebook",0.06,9366.64,4.04,"Las Vegas","French",24606,74403,"Food",2022-01-05,"Culinary Quest","Nevada"
280760,"Men","18-24","Men 18-24","Market Expansion",15,"Pinterest",0.12,3885.74,0.117973194,"Las Vegas","English",5711,19579,"Fashion",2022-03-31,"Fiber Fashion","Nevada"
733653,"Men","18-24","Men 18-24","Product Launch",45,"Pinterest",0.05,10458.58,1.238718537,"Las Vegas","French",16210,53765,"Food",2022-02-05,"Savor Street","Nevada"
132714,"Men","25-34","Men 25-34","Market Expansion",30,"Facebook",0.08,4967.21,3.96,"Las Vegas","English",12680,39078,"Food",2022-11-25,"Savor Street","Nevada"
486189,"Men","25-34","Men 25-34","Increase Sales",45,"Twitter",0.05,9799.73,7.08,"Austin","English",25816,77987,"Fashion",2022-01-29,"Runway Rebels","Texas"
461628,"Men","18-24","Men 18-24","Market Expansion",15,"Pinterest",0.06,3521.03,1.142195015,"Austin","Spanish",5131,17690,"Food",2022-07-10,"Culinary Quest","Texas"
308972,"Men","18-24","Men 18-24","Increase Sales",15,"Instagram",0.11,1903.55,5.5,"Miami","French",4677,15372,"Fashion",2022-12-17,"Style Sphere","Florida"
321675,"Women","25-34","Women 25-34","Increase Sales",45,"Instagram",0.03,9125.28,7.67,"New York","English",23961,72492,"Fashion",2022-05-19,"Chic Couture","New York"
831710,"Women","35-44","Women 35-44","Product Launch",60,"Instagram",0.12,12466.84,2.3,"New York","French",32998,99262,"Fashion",2022-03-01,"Mode Maven","New York"
309309,"Women","25-34","Women 25-34","Brand Awareness",15,"Facebook",0.15,500,0.95,"Los Angeles","Spanish",1257,5243,"Food",2022-03-31,"Gastronomy Guild","California"
740992,"Women","18-24","Women 18-24","Brand Awareness",15,"Twitter",0.08,3564.4,5.4,"Los Angeles","English",8860,27763,"Fashion",2022-09-24,"Fiber Fashion","California"
542856,"Men","25-34","Men 25-34","Market Expansion",30,"Instagram",0.08,5677.96,1.75,"Las Vegas","English",14621,44829,"Fashion",2022-09-05,"Silk & Style","Nevada"
355209,"Women","25-34","Women 25-34","Market Expansion",30,"Instagram",0.06,7106.59,4.3,"Miami","Spanish",18485,56273,"Fashion",2022-03-30,"Vogue Visions","Florida"
944489,"Men","35-44","Men 35-44","Product Launch",15,"Twitter",0.13,1120.05,2.5,"Miami","Spanish",3082,10648,"Fashion",2022-03-09,"Style Sphere","Florida"
160146,"Women","35-44","Women 35-44","Market Expansion",30,"Pinterest",0.07,6929.27,0.861561811,"Austin","French",10576,35418,"Food",2022-02-10,"Feast Flavors","Texas"
254284,"Women","18-24","Women 18-24","Product Launch",15,"Instagram",0.03,3595.97,1.07,"New York","French",8948,28023,"Food",2022-11-18,"Bistro Bliss","New York"
894599,"Men","35-44","Men 35-44","Product Launch",30,"Instagram",0.13,6303.03,7.05,"Los Angeles","Spanish",16318,49854,"Food",2022-03-15,"Palate Paradise","California"
496465,"Men","35-44","Men 35-44","Increase Sales",15,"Pinterest",0.08,1522.46,0.954510388,"New York","Spanish",2264,8353,"Food",2022-07-08,"Savor Street","New York"
269729,"Women","25-34","Women 25-34","Increase Sales",45,"Facebook",0.08,8433.76,0.11,"Los Angeles","English",22106,66999,"Food",2022-06-17,"Epicurean Edge","California"
195696,"Women","35-44","Women 35-44","Brand Awareness",60,"Twitter",0.14,12351.03,3.8,"Miami","Spanish",32698,98372,"Food",2022-01-07,"Savor Street","Florida"
438313,"Men","18-24","Men 18-24","Increase Sales",30,"Instagram",0.03,4402.5,7.15,"Miami","French",11143,34526,"Food",2022-04-08,"Culinary Quest","Florida"
173067,"Women","25-34","Women 25-34","Product Launch",45,"Instagram",0.15,9122.74,6.15,"Los Angeles","Spanish",23953,72469,"Fashion",2022-03-27,"Fiber Fashion","California"
372195,"Women","25-34","Women 25-34","Product Launch",30,"Pinterest",0.06,5507.79,0.732863781,"Miami","Spanish",8312,28047,"Food",2022-05-07,"Feast Flavors","Florida"
544474,"Men","35-44","Men 35-44","Product Launch",60,"Facebook",0.08,13963.58,3.28,"Miami","Spanish",36591,109904,"Food",2022-01-27,"Palate Paradise","Florida"
990062,"Women","18-24","Women 18-24","Product Launch",45,"Facebook",0.13,9914.49,1.53,"Los Angeles","French",26120,78887,"Food",2022-02-05,"Gourmet Grove","California"
759574,"Women","35-44","Women 35-44","Brand Awareness",45,"Twitter",0.14,8056.2,4.71,"Los Angeles","French",21070,63929,"Food",2022-05-05,"Epicurean Edge","California"
793516,"Men","25-34","Men 25-34","Market Expansion",60,"Pinterest",0.04,15000,0.139422866,"Las Vegas","French",22832,75325,"Fashion",2022-10-17,"Trend Tailors","Nevada"
403571,"Women","18-24","Women 18-24","Product Launch",60,"Pinterest",0.12,11473.62,0,"Las Vegas","English",17837,59062,"Food",2022-10-02,"Gourmet Grove","Nevada"
178597,"Women","25-34","Women 25-34","Product Launch",15,"Pinterest",0.04,3873.12,0.46116794,"Austin","English",5692,19517,"Fashion",2022-09-09,"Runway Rebels","Texas"
191050,"Men","18-24","Men 18-24","Increase Sales",60,"Pinterest",0.05,15000,1.033159184,"Las Vegas","English",23332,76956,"Fashion",2022-01-23,"Fiber Fashion","Nevada"
442211,"Men","18-24","Men 18-24","Product Launch",15,"Facebook",0.13,2094.52,0.07,"Austin","Spanish",5124,16699,"Food",2022-11-17,"Feast Flavors","Texas"
507746,"Men","35-44","Men 35-44","Brand Awareness",15,"Facebook",0.13,500,4.29,"Austin","English",900,4185,"Fashion",2022-02-11,"Glam Garments","Texas"
183001,"Men","35-44","Men 35-44","Increase Sales",60,"Instagram",0.1,14257.35,6.28,"Austin","English",37195,111691,"Food",2022-07-05,"Bistro Bliss","Texas"
219819,"Men","25-34","Men 25-34","Brand Awareness",30,"Twitter",0.05,4966.72,5.25,"Las Vegas","French",12679,39075,"Fashion",2022-05-13,"Trend Tailors","Nevada"
700806,"Men","25-34","Men 25-34","Increase Sales",60,"Twitter",0.07,11965.34,4.45,"Miami","Spanish",31679,95355,"Fashion",2022-10-02,"Glam Garments","Florida"
997589,"Women","35-44","Women 35-44","Increase Sales",45,"Twitter",0.06,7883.78,1.69,"Miami","Spanish",20591,62512,"Food",2022-10-29,"Dine Divine","Florida"
114396,"Women","18-24","Women 18-24","Market Expansion",45,"Twitter",0.08,9891.53,2.45,"New York","English",26061,78715,"Food",2022-03-10,"Feast Flavors","New York"
470725,"Men","35-44","Men 35-44","Product Launch",15,"Facebook",0.07,2969.81,2.61,"Los Angeles","French",7297,23134,"Food",2022-04-29,"Gastronomy Guild","California"
832516,"Women","25-34","Women 25-34","Market Expansion",60,"Twitter",0.06,12516.48,3.87,"New York","English",33127,99643,"Food",2022-03-26,"Nosh Nirvana","New York"
378680,"Women","25-34","Women 25-34","Increase Sales",15,"Instagram",0.06,3372.74,0.2,"Los Angeles","Spanish",8354,26265,"Food",2022-08-21,"Epicurean Edge","California"
495013,"Women","35-44","Women 35-44","Product Launch",45,"Pinterest",0.01,8909.42,1.313792388,"Las Vegas","English",13732,45696,"Fashion",2022-01-31,"Fiber Fashion","Nevada"
442800,"Men","25-34","Men 25-34","Product Launch",15,"Twitter",0.12,2969.52,6.28,"Las Vegas","French",7297,23133,"Fashion",2022-08-13,"Trend Tailors","Nevada"
546040,"Women","25-34","Women 25-34","Increase Sales",30,"Instagram",0.06,7465.33,3.29,"New York","French",19444,59113,"Food",2022-07-18,"Gastronomy Guild","New York"
556069,"Women","18-24","Women 18-24","Market Expansion",60,"Pinterest",0.05,12798.53,1.426403164,"Austin","French",19892,65752,"Fashion",2022-08-07,"Vogue Visions","Texas"
452598,"Women","35-44","Women 35-44","Market Expansion",45,"Pinterest",0.03,8205.74,0.439718269,"Miami","English",12614,42054,"Food",2022-03-14,"Gourmet Grove","Florida"
837657,"Men","18-24","Men 18-24","Increase Sales",15,"Twitter",0.02,500,1.81,"Las Vegas","French",1313,5408,"Food",2022-12-18,"Gastronomy Guild","Nevada"
741600,"Women","25-34","Women 25-34","Brand Awareness",45,"Facebook",0.08,8774.64,2.26,"Las Vegas","Spanish",23024,69719,"Food",2022-05-05,"Savor Street","Nevada"
627752,"Men","35-44","Men 35-44","Market Expansion",60,"Instagram",0.05,13713.16,4.85,"Los Angeles","French",36055,108316,"Fashion",2022-11-30,"Attire Artistry","California"
650277,"Men","35-44","Men 35-44","Market Expansion",30,"Instagram",0.13,4493.46,7.09,"Los Angeles","English",11392,35262,"Food",2022-05-12,"Gourmet Grove","California"
256009,"Men","25-34","Men 25-34","Brand Awareness",30,"Facebook",0.05,7284.49,2.02,"Austin","English",18963,57689,"Fashion",2022-08-18,"Attire Artistry","Texas"
235817,"Women","25-34","Women 25-34","Brand Awareness",60,"Pinterest",0.09,13202.53,1.13862007,"Los Angeles","Spanish",20485,67684,"Fashion",2022-07-01,"Runway Rebels","California"
288049,"Women","25-34","Women 25-34","Brand Awareness",30,"Facebook",0.09,7594.97,3.19,"Las Vegas","English",19805,60183,"Fashion",2022-04-30,"Trend Tailors","Nevada"
519365,"Men","25-34","Men 25-34","Market Expansion",15,"Facebook",0.05,3073.56,2.02,"Miami","English",7570,23941,"Fashion",2022-06-30,"Silk & Style","Florida"
574905,"Women","25-34","Women 25-34","Product Launch",45,"Instagram",0.06,8613.96,7.96,"Austin","English",22596,68449,"Food",2022-03-18,"Savor Street","Texas"
723041,"Men","18-24","Men 18-24","Market Expansion",15,"Instagram",0.04,3811.77,0.36,"Las Vegas","Spanish",9527,29739,"Food",2022-02-06,"Palate Paradise","Nevada"
663804,"Women","25-34","Women 25-34","Market Expansion",15,"Pinterest",0.15,3525.13,1.00992204,"Austin","French",5139,17716,"Food",2022-08-27,"Dine Divine","Texas"
262884,"Women","18-24","Women 18-24","Product Launch",30,"Twitter",0.01,7065.55,7.25,"Austin","Spanish",18375,55947,"Food",2022-08-15,"Nosh Nirvana","Texas"
304443,"Men","18-24","Men 18-24","Market Expansion",60,"Instagram",0.13,14672.08,1.59,"Austin","English",37924,113852,"Food",2022-10-31,"Gastronomy Guild","Texas"
296413,"Women","25-34","Women 25-34","Increase Sales",60,"Facebook",0.13,13904.33,6.3,"New York","French",36465,109530,"Fashion",2022-07-23,"Chic Couture","New York"
863186,"Men","18-24","Men 18-24","Increase Sales",45,"Twitter",0.11,10738.09,0.39,"Austin","Spanish",28361,85525,"Food",2022-03-17,"Epicurean Edge","Texas"
446937,"Men","25-34","Men 25-34","Market Expansion",15,"Instagram",0.05,2436.73,0.8,"Austin","French",5953,19153,"Fashion",2022-07-31,"Trend Tailors","Texas"
108109,"Men","25-34","Men 25-34","Brand Awareness",45,"Pinterest",0.1,10603.55,0.65778993,"Las Vegas","Spanish",16442,54518,"Fashion",2022-09-02,"Mode Maven","Nevada"
629064,"Women","18-24","Women 18-24","Product Launch",30,"Pinterest",0.04,5272.51,0.058986597,"New York","French",7939,26832,"Fashion",2022-08-04,"Runway Rebels","New York"
814353,"Men","18-24","Men 18-24","Product Launch",15,"Twitter",0.14,3390.69,7.19,"Miami","Spanish",8399,26398,"Fashion",2022-12-31,"Fiber Fashion","Florida"
725142,"Women","35-44","Women 35-44","Brand Awareness",15,"Facebook",0.09,1081.41,1.78,"Las Vegas","French",3014,10447,"Food",2022-08-14,"Nosh Nirvana","Nevada"
581134,"Men","35-44","Men 35-44","Increase Sales",30,"Facebook",0.11,7335,7.12,"New York","English",19097,58085,"Food",2022-10-27,"Bistro Bliss","New York"
196608,"Men","35-44","Men 35-44","Brand Awareness",15,"Twitter",0.12,1106.99,6.19,"Los Angeles","French",3057,10575,"Food",2022-06-19,"Palate Paradise","California"
608697,"Women","25-34","Women 25-34","Product Launch",15,"Facebook",0.11,500,2.54,"Austin","Spanish",2002,7449,"Fashion",2022-01-19,"Trend Tailors","Texas"
684633,"Men","35-44","Men 35-44","Increase Sales",60,"Facebook",0.09,14913.22,4.06,"New York","French",38289,114932,"Food",2022-06-11,"Culinary Quest","New York"
690394,"Men","35-44","Men 35-44","Market Expansion",15,"Twitter",0.01,954.21,5.56,"Los Angeles","Spanish",2780,9754,"Fashion",2022-10-01,"Runway Rebels","California"
743851,"Women","35-44","Women 35-44","Product Launch",45,"Instagram",0.05,11277.13,0.93,"Los Angeles","French",29835,89892,"Fashion",2022-02-07,"Mode Maven","California"
936168,"Men","35-44","Men 35-44","Increase Sales",45,"Twitter",0.08,9231.21,3.92,"Los Angeles","French",24250,73349,"Food",2022-12-26,"Culinary Quest","California"
643338,"Men","35-44","Men 35-44","Market Expansion",15,"Pinterest",0.07,3084.06,0.048261761,"Las Vegas","English",4461,15509,"Food",2022-06-04,"Nosh Nirvana","Nevada"
491017,"Women","25-34","Women 25-34","Increase Sales",60,"Facebook",0.11,13156.58,4.78,"Las Vegas","English",34764,104492,"Food",2022-12-17,"Epicurean Edge","Nevada"
505424,"Women","18-24","Women 18-24","Brand Awareness",60,"Twitter",0.1,12991.01,4.53,"Las Vegas","English",34356,103282,"Fashion",2022-08-23,"Attire Artistry","Nevada"
